publication_id,ion,band,instrument,holding,tier,selector,route,treatment,A,n_lines,resolved,reason,perline_artifact
Fe-000,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.909,8,True,resolved,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-001,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.531,2,True,resolved,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-002,II,VIS,harps,solar_harps_molecfit_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,7.925,8,True,resolved,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe-003,II,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.909,8,True,resolved,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-004,II,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.531,2,True,resolved,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-005,II,VIS,harps,solar_harps_molecfit_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.925,8,True,resolved,data/results/band_products/FeII_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
Fe-006,II,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,1D-LTE,7.571,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_1D-LTE_lines.csv
Fe-007,II,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,ENGINE-A,7.324,2,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_lines.csv
Fe-008,II,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,DEEPGRADED,DEEPGRADED,SYNTH,synth-1D-LTE-gerber,7.567,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_synth-1D-LTE-gerber_lines.csv
Fe-009,II,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,1D-LTE,7.571,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_1D-LTE_lines.csv
Fe-010,II,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,ENGINE-A,7.324,2,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_ENGINE-A_lines.csv
Fe-011,II,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,REFERENCE,REFERENCE,SYNTH,synth-1D-LTE-gerber,7.567,8,True,resolved,data/results/band_products/FeII_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_REFERENCE_synth-1D-LTE-gerber_lines.csv
